distance:59, material: 6, angle: 34
distance:591, material: 2, angle: 34
distance:151, material: 6, angle: 41
distance:60, material: 6, angle: 34
distance:361, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:450, material: 2, angle: 34
distance:128, material: 6, angle: 34
distance:61, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:65, material: 6, angle: 30
distance:323, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:48, material: 0, angle: 16
distance:1023, material: 0, angle: 0
distance:88, material: 0, angle: 33
distance:61, material: 6, angle: 34
distance:376, material: 2, angle: 34
distance:58, material: 6, angle: 56
distance:1023, material: 0, angle: 0
distance:127, material: 6, angle: 34
distance:52, material: 6, angle: 34
distance:67, material: 6, angle: 19
distance:50, material: 7, angle: 48
distance:450, material: 2, angle: 34
distance:91, material: 0, angle: 0
distance:358, material: 2, angle: 34
distance:1023, material: 0, angle: 0
distance:65, material: 6, angle: 57
distance:99, material: 6, angle: 31
distance:44, material: 6, angle: 34
distance:330, material: 2, angle: 34
distance:79, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:80, material: 0, angle: 16
distance:91, material: 0, angle: 59
distance:41, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:97, material: 6, angle: 16
distance:709, material: 2, angle: 34
distance:412, material: 2, angle: 34
distance:40, material: 0, angle: 34
distance:1023, material: 0, angle: 0
distance:46, material: 5, angle: 34
distance:87, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:890, material: 2, angle: 34
distance:100, material: 0, angle: 16
distance:92, material: 6, angle: 34
distance:66, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:1023, material: 0, angle: 0
distance:77, material: 6, angle: 52
distance:95, material: 6, angle: 34
distance:67, material: 6, angle: 34
distance:70, material: 6, angle: 50
distance:127, material: 6, angle: 36
distance:53, material: 6, angle: 34
distance:62, material: 6, angle: 34
distance:63, material: 6, angle: 0
distance:72, material: 6, angle: 13
distance:69, material: 6, angle: 13
distance:1023, material: 0, angle: 0
distance:82, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:61, material: 6, angle: 33
distance:362, material: 2, angle: 34
distance:410, material: 2, angle: 34
distance:71, material: 6, angle: 17
distance:66, material: 6, angle: 27
distance:105, material: 6, angle: 34
distance:64, material: 6, angle: 34
distance:47, material: 0, angle: 23
distance:40, material: 6, angle: 34
distance:88, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:333, material: 2, angle: 34
distance:57, material: 6, angle: 34
distance:55, material: 6, angle: 34
distance:103, material: 6, angle: 34
distance:57, material: 6, angle: 34
distance:91, material: 0, angle: 60
distance:58, material: 6, angle: 34
distance:145, material: 6, angle: 41
distance:334, material: 2, angle: 34
distance:46, material: 6, angle: 34
distance:359, material: 2, angle: 34
distance:401, material: 2, angle: 34
distance:80, material: 6, angle: 27
distance:109, material: 6, angle: 34
distance:534, material: 2, angle: 34
distance:63, material: 6, angle: 23
distance:1023, material: 0, angle: 0
distance:148, material: 6, angle: 34
distance:559, material: 2, angle: 34
distance:46, material: 5, angle: 34
distance:1023, material: 0, angle: 0
distance:90, material: 0, angle: 60
distance:52, material: 6, angle: 34
distance:80, material: 6, angle: 34
distance:134, material: 6, angle: 34
distance:76, material: 0, angle: 16
distance:71, material: 6, angle: 20
distance:55, material: 6, angle: 34
distance:1023, material: 0, angle: 0
distance:47, material: 5, angle: 34
distance:50, material: 0, angle: 34
distance:89, material: 0, angle: 60
distance:85, material: 6, angle: 34
distance:80, material: 5, angle: 49
distance:91, material: 6, angle: 34
distance:70, material: 6, angle: 32
distance:93, material: 6, angle: 49
distance:69, material: 6, angle: 34
distance:486, material: 2, angle: 34
distance:330, material: 2, angle: 34
distance:74, material: 6, angle: 16
distance:395, material: 2, angle: 34
distance:86, material: 6, angle: 34
distance:487, material: 2, angle: 34
distance:76, material: 6, angle: 42
distance:409, material: 2, angle: 34
distance:561, material: 2, angle: 34
distance:49, material: 6, angle: 34
distance:62, material: 6, angle: 34
distance:63, material: 6, angle: 0
distance:87, material: 6, angle: 34
distance:79, material: 0, angle: 49
